"Step","vit_cifar10_ft_from_imagenet_lr2e-4_bs512 - train/epoch_top1_accuracy","vit_cifar10_ft_from_imagenet_lr2e-4_bs512 - train/epoch_top1_accuracy__MIN","vit_cifar10_ft_from_imagenet_lr2e-4_bs512 - train/epoch_top1_accuracy__MAX"
"98","65.552","65.552","65.552"
"196","88.392","88.392","88.392"
"294","92.438","92.438","92.438"
"392","94.956","94.956","94.956"
"490","96.328","96.328","96.328"
"588","97.44","97.44","97.44"
"686","98.092","98.092","98.092"
"784","98.646","98.646","98.646"
"882","98.938","98.938","98.938"
"980","99.168","99.168","99.168"
"1078","99.276","99.276","99.276"
"1176","99.34","99.34","99.34"
"1274","99.52","99.52","99.52"
"1372","99.552","99.552","99.552"
"1470","99.614","99.614","99.614"
"1568","99.658","99.658","99.658"
"1666","99.654","99.654","99.654"
"1764","99.596","99.596","99.596"
"1862","99.712","99.712","99.712"
"1960","99.718","99.718","99.718"
