train_accuracy,train_loss,test_accuracy,test_loss,error_rates,alphas
0.29252,16.072859,0.2531,20.116451,0.70748,1.314049
0.3,21.365814,0.283,24.025368,0.812283,0.732311
0.2995,26.754642,0.2751,31.695017,0.799339,0.815059
0.3169,30.218145,0.287,34.742573,0.797981,0.823504
0.31576,36.011654,0.2948,39.022575,0.853546,0.43454
0.33042,35.252079,0.3046,40.50568,0.785437,0.899591
0.33176,38.066624,0.303,43.587204,0.873353,0.266287
0.33272,39.300404,0.3052,45.929688,0.846557,0.489378
0.33948,39.956699,0.3065,47.52153,0.846059,0.493203
0.3365,45.21608,0.3044,52.164341,0.829656,0.614034
