"Step","logistic - train_acc","logistic - train_acc__MIN","logistic - train_acc__MAX"
"10","0.10078125","0.10078125","0.10078125"
"20","0.10625","0.10625","0.10625"
"30","0.09453125","0.09453125","0.09453125"
"40","0.09921875","0.09921875","0.09921875"
"50","0.11953125","0.11953125","0.11953125"
"60","0.0953125","0.0953125","0.0953125"
"70","0.10625","0.10625","0.10625"
"80","0.10234375","0.10234375","0.10234375"
"90","0.09921875","0.09921875","0.09921875"
"100","0.103125","0.103125","0.103125"
"110","0.0859375","0.0859375","0.0859375"
"120","0.1","0.1","0.1"
"130","0.08984375","0.08984375","0.08984375"
"140","0.10625","0.10625","0.10625"
"150","0.109375","0.109375","0.109375"
"160","0.1171875","0.1171875","0.1171875"
"170","0.11015625","0.11015625","0.11015625"
"180","0.10078125","0.10078125","0.10078125"
"190","0.12578125","0.12578125","0.12578125"
"200","0.11796875","0.11796875","0.11796875"
"210","0.11875","0.11875","0.11875"
"220","0.11875","0.11875","0.11875"
"230","0.11171875","0.11171875","0.11171875"
"240","0.10625","0.10625","0.10625"
"250","0.13125","0.13125","0.13125"
"260","0.1296875","0.1296875","0.1296875"
"270","0.1359375","0.1359375","0.1359375"
"280","0.1484375","0.1484375","0.1484375"
"290","0.121875","0.121875","0.121875"
"300","0.134375","0.134375","0.134375"
"310","0.11875","0.11875","0.11875"
"320","0.13828125","0.13828125","0.13828125"
"330","0.1328125","0.1328125","0.1328125"
"340","0.14453125","0.14453125","0.14453125"
"350","0.15546875","0.15546875","0.15546875"
"360","0.15078125","0.15078125","0.15078125"
"370","0.14921875","0.14921875","0.14921875"
"380","0.15078125","0.15078125","0.15078125"
"390","0.14375","0.14375","0.14375"
"400","0.128125","0.128125","0.128125"
"410","0.15390625","0.15390625","0.15390625"
"420","0.14296875","0.14296875","0.14296875"
"430","0.14296875","0.14296875","0.14296875"
"440","0.18125","0.18125","0.18125"
"450","0.1453125","0.1453125","0.1453125"
"460","0.14140625","0.14140625","0.14140625"
"470","0.14140625","0.14140625","0.14140625"
"480","0.153125","0.153125","0.153125"
"490","0.14765625","0.14765625","0.14765625"
"500","0.1578125","0.1578125","0.1578125"
"510","0.15703125","0.15703125","0.15703125"
"520","0.15078125","0.15078125","0.15078125"
"530","0.17265625","0.17265625","0.17265625"
"540","0.159375","0.159375","0.159375"
"550","0.15390625","0.15390625","0.15390625"
"560","0.1625","0.1625","0.1625"
"570","0.16328125","0.16328125","0.16328125"
"580","0.1578125","0.1578125","0.1578125"
"590","0.14765625","0.14765625","0.14765625"
"600","0.15234375","0.15234375","0.15234375"
"610","0.18203125","0.18203125","0.18203125"
"620","0.15390625","0.15390625","0.15390625"
"630","0.175","0.175","0.175"
"640","0.1578125","0.1578125","0.1578125"
"650","0.16875","0.16875","0.16875"
"660","0.17421875","0.17421875","0.17421875"
"670","0.171875","0.171875","0.171875"
"680","0.17421875","0.17421875","0.17421875"
"690","0.17421875","0.17421875","0.17421875"
"700","0.16171875","0.16171875","0.16171875"
"710","0.17265625","0.17265625","0.17265625"
"720","0.16640625","0.16640625","0.16640625"
"730","0.16796875","0.16796875","0.16796875"
"740","0.1734375","0.1734375","0.1734375"
"750","0.1921875","0.1921875","0.1921875"
"760","0.1609375","0.1609375","0.1609375"
"770","0.1953125","0.1953125","0.1953125"
"780","0.18125","0.18125","0.18125"
"790","0.1375","0.1375","0.1375"
"800","0.17265625","0.17265625","0.17265625"
"810","0.1921875","0.1921875","0.1921875"
"820","0.17265625","0.17265625","0.17265625"
"830","0.165625","0.165625","0.165625"
"840","0.18203125","0.18203125","0.18203125"
"850","0.17421875","0.17421875","0.17421875"
"860","0.1984375","0.1984375","0.1984375"
"870","0.228125","0.228125","0.228125"
"880","0.19609375","0.19609375","0.19609375"
"890","0.19921875","0.19921875","0.19921875"
"900","0.19453125","0.19453125","0.19453125"
"910","0.19453125","0.19453125","0.19453125"
"920","0.18984375","0.18984375","0.18984375"
"930","0.196875","0.196875","0.196875"
"940","0.19609375","0.19609375","0.19609375"
"950","0.184375","0.184375","0.184375"
"960","0.17890625","0.17890625","0.17890625"
"970","0.18125","0.18125","0.18125"
"980","0.1859375","0.1859375","0.1859375"
"990","0.18203125","0.18203125","0.18203125"
"1000","0.18984375","0.18984375","0.18984375"
"1010","0.16328125","0.16328125","0.16328125"
"1020","0.1921875","0.1921875","0.1921875"
"1030","0.203125","0.203125","0.203125"
"1040","0.190625","0.190625","0.190625"
"1050","0.203125","0.203125","0.203125"
"1060","0.18046875","0.18046875","0.18046875"
"1070","0.20078125","0.20078125","0.20078125"
"1080","0.20078125","0.20078125","0.20078125"
"1090","0.1984375","0.1984375","0.1984375"
"1100","0.19453125","0.19453125","0.19453125"
"1110","0.19296875","0.19296875","0.19296875"
"1120","0.20546875","0.20546875","0.20546875"
"1130","0.20078125","0.20078125","0.20078125"
"1140","0.20234375","0.20234375","0.20234375"
"1150","0.1953125","0.1953125","0.1953125"
"1160","0.1890625","0.1890625","0.1890625"
"1170","0.2078125","0.2078125","0.2078125"
"1180","0.1390625","0.1390625","0.1390625"
"1190","0.203125","0.203125","0.203125"
"1200","0.2171875","0.2171875","0.2171875"
"1210","0.21484375","0.21484375","0.21484375"
"1220","0.22109375","0.22109375","0.22109375"
"1230","0.20625","0.20625","0.20625"
