"Step","cnn-ep100-56-layers-no-data-augmentation-max_lr-0.12 - train_loss","cnn-ep100-56-layers-no-data-augmentation-max_lr-0.12 - train_loss__MIN","cnn-ep100-56-layers-no-data-augmentation-max_lr-0.12 - train_loss__MAX","cnn-ep100-56-layers-no-data-augmentation-max_lr-0.09 - train_loss","cnn-ep100-56-layers-no-data-augmentation-max_lr-0.09 - train_loss__MIN","cnn-ep100-56-layers-no-data-augmentation-max_lr-0.09 - train_loss__MAX","cnn-ep100-56-layers-no-data-augmentation-max_lr-0.05 - train_loss","cnn-ep100-56-layers-no-data-augmentation-max_lr-0.05 - train_loss__MIN","cnn-ep100-56-layers-no-data-augmentation-max_lr-0.05 - train_loss__MAX","cnn-ep100-56-layers-no-data-augmentation-max_lr-0.01 - train_loss","cnn-ep100-56-layers-no-data-augmentation-max_lr-0.01 - train_loss__MIN","cnn-ep100-56-layers-no-data-augmentation-max_lr-0.01 - train_loss__MAX"
"49","2.2662007808685303","2.2662007808685303","2.2662007808685303","2.2893118858337402","2.2893118858337402","2.2893118858337402","2.314275026321411","2.314275026321411","2.314275026321411","2.071706533432007","2.071706533432007","2.071706533432007"
"98","2.184502124786377","2.184502124786377","2.184502124786377","2.2564680576324463","2.2564680576324463","2.2564680576324463","2.2687249183654785","2.2687249183654785","2.2687249183654785","1.7638134956359863","1.7638134956359863","1.7638134956359863"
"147","2.0263569355010986","2.0263569355010986","2.0263569355010986","2.1435155868530273","2.1435155868530273","2.1435155868530273","2.1401989459991455","2.1401989459991455","2.1401989459991455","1.6280417442321777","1.6280417442321777","1.6280417442321777"
"196","1.8908536434173584","1.8908536434173584","1.8908536434173584","1.891414999961853","1.891414999961853","1.891414999961853","1.9421414136886597","1.9421414136886597","1.9421414136886597","1.5322126150131226","1.5322126150131226","1.5322126150131226"
"245","1.8490220308303833","1.8490220308303833","1.8490220308303833","1.8168400526046753","1.8168400526046753","1.8168400526046753","1.8431081771850586","1.8431081771850586","1.8431081771850586","1.4465316534042358","1.4465316534042358","1.4465316534042358"
"294","1.814387559890747","1.814387559890747","1.814387559890747","1.7390861511230469","1.7390861511230469","1.7390861511230469","1.7654938697814941","1.7654938697814941","1.7654938697814941","1.3389954566955566","1.3389954566955566","1.3389954566955566"
"343","1.7536181211471558","1.7536181211471558","1.7536181211471558","1.6563379764556885","1.6563379764556885","1.6563379764556885","1.6871867179870605","1.6871867179870605","1.6871867179870605","1.2812708616256714","1.2812708616256714","1.2812708616256714"
"392","1.664259433746338","1.664259433746338","1.664259433746338","1.5795985460281372","1.5795985460281372","1.5795985460281372","1.6125794649124146","1.6125794649124146","1.6125794649124146","1.1781986951828003","1.1781986951828003","1.1781986951828003"
"441","1.5852609872817993","1.5852609872817993","1.5852609872817993","1.4813358783721924","1.4813358783721924","1.4813358783721924","1.5475068092346191","1.5475068092346191","1.5475068092346191","1.086082935333252","1.086082935333252","1.086082935333252"
"490","1.5136308670043945","1.5136308670043945","1.5136308670043945","1.3854771852493286","1.3854771852493286","1.3854771852493286","1.4905678033828735","1.4905678033828735","1.4905678033828735","1.023388385772705","1.023388385772705","1.023388385772705"
"539","1.4574284553527832","1.4574284553527832","1.4574284553527832","1.3249742984771729","1.3249742984771729","1.3249742984771729","1.4122424125671387","1.4122424125671387","1.4122424125671387","0.9798815250396729","0.9798815250396729","0.9798815250396729"
"588","1.3753679990768433","1.3753679990768433","1.3753679990768433","1.2565174102783203","1.2565174102783203","1.2565174102783203","1.3371220827102661","1.3371220827102661","1.3371220827102661","0.9516205787658691","0.9516205787658691","0.9516205787658691"
"637","1.3029922246932983","1.3029922246932983","1.3029922246932983","1.173229455947876","1.173229455947876","1.173229455947876","1.2715357542037964","1.2715357542037964","1.2715357542037964","0.917625904083252","0.917625904083252","0.917625904083252"
"686","1.2550628185272217","1.2550628185272217","1.2550628185272217","1.0867674350738525","1.0867674350738525","1.0867674350738525","1.180214285850525","1.180214285850525","1.180214285850525","0.8705635070800781","0.8705635070800781","0.8705635070800781"
"735","1.1960325241088867","1.1960325241088867","1.1960325241088867","1.0353182554244995","1.0353182554244995","1.0353182554244995","1.1089779138565063","1.1089779138565063","1.1089779138565063","0.829420804977417","0.829420804977417","0.829420804977417"
"784","1.1437292098999023","1.1437292098999023","1.1437292098999023","0.9700101017951965","0.9700101017951965","0.9700101017951965","1.0634464025497437","1.0634464025497437","1.0634464025497437","0.7893694639205933","0.7893694639205933","0.7893694639205933"
"833","1.125229001045227","1.125229001045227","1.125229001045227","0.9252952933311462","0.9252952933311462","0.9252952933311462","1.0125548839569092","1.0125548839569092","1.0125548839569092","0.7719548344612122","0.7719548344612122","0.7719548344612122"
"882","1.0804901123046875","1.0804901123046875","1.0804901123046875","0.8676840662956238","0.8676840662956238","0.8676840662956238","0.9465798735618591","0.9465798735618591","0.9465798735618591","0.7210353016853333","0.7210353016853333","0.7210353016853333"
"931","1.0217761993408203","1.0217761993408203","1.0217761993408203","0.8565695285797119","0.8565695285797119","0.8565695285797119","0.9181926846504211","0.9181926846504211","0.9181926846504211","0.6956596970558167","0.6956596970558167","0.6956596970558167"
"980","0.9935899376869202","0.9935899376869202","0.9935899376869202","0.8279716372489929","0.8279716372489929","0.8279716372489929","0.887227475643158","0.887227475643158","0.887227475643158","0.6569864749908447","0.6569864749908447","0.6569864749908447"
"1029","0.9526932239532471","0.9526932239532471","0.9526932239532471","0.7944573760032654","0.7944573760032654","0.7944573760032654","0.8254308700561523","0.8254308700561523","0.8254308700561523","0.62607741355896","0.62607741355896","0.62607741355896"
"1078","0.9368607997894287","0.9368607997894287","0.9368607997894287","0.7601059675216675","0.7601059675216675","0.7601059675216675","0.7992165088653564","0.7992165088653564","0.7992165088653564","0.616349995136261","0.616349995136261","0.616349995136261"
"1127","0.8886889815330505","0.8886889815330505","0.8886889815330505","0.7311497926712036","0.7311497926712036","0.7311497926712036","0.7738005518913269","0.7738005518913269","0.7738005518913269","0.5587215423583984","0.5587215423583984","0.5587215423583984"
"1176","0.8427798748016357","0.8427798748016357","0.8427798748016357","0.7091598510742188","0.7091598510742188","0.7091598510742188","0.7270457148551941","0.7270457148551941","0.7270457148551941","0.5349658727645874","0.5349658727645874","0.5349658727645874"
"1225","0.8150034546852112","0.8150034546852112","0.8150034546852112","0.672313928604126","0.672313928604126","0.672313928604126","0.7130600214004517","0.7130600214004517","0.7130600214004517","0.5217902660369873","0.5217902660369873","0.5217902660369873"
"1274","0.7958704233169556","0.7958704233169556","0.7958704233169556","0.6350218057632446","0.6350218057632446","0.6350218057632446","0.6846432685852051","0.6846432685852051","0.6846432685852051","0.48990508913993835","0.48990508913993835","0.48990508913993835"
"1323","0.7752436399459839","0.7752436399459839","0.7752436399459839","0.6362648606300354","0.6362648606300354","0.6362648606300354","0.6400423645973206","0.6400423645973206","0.6400423645973206","0.4829195737838745","0.4829195737838745","0.4829195737838745"
"1372","0.7355287075042725","0.7355287075042725","0.7355287075042725","0.5864453315734863","0.5864453315734863","0.5864453315734863","0.6170618534088135","0.6170618534088135","0.6170618534088135","0.44676730036735535","0.44676730036735535","0.44676730036735535"
"1421","0.7048864960670471","0.7048864960670471","0.7048864960670471","0.5637222528457642","0.5637222528457642","0.5637222528457642","0.5986893177032471","0.5986893177032471","0.5986893177032471","0.41724878549575806","0.41724878549575806","0.41724878549575806"
"1470","0.689275860786438","0.689275860786438","0.689275860786438","0.5441424250602722","0.5441424250602722","0.5441424250602722","0.5770999193191528","0.5770999193191528","0.5770999193191528","0.3815144896507263","0.3815144896507263","0.3815144896507263"
"1519","0.6634664535522461","0.6634664535522461","0.6634664535522461","0.5117487907409668","0.5117487907409668","0.5117487907409668","0.5341370701789856","0.5341370701789856","0.5341370701789856","0.36729976534843445","0.36729976534843445","0.36729976534843445"
"1568","0.6218900084495544","0.6218900084495544","0.6218900084495544","0.4856984615325928","0.4856984615325928","0.4856984615325928","0.5109695196151733","0.5109695196151733","0.5109695196151733","0.358329713344574","0.358329713344574","0.358329713344574"
"1617","0.5978207588195801","0.5978207588195801","0.5978207588195801","0.47329825162887573","0.47329825162887573","0.47329825162887573","0.48832935094833374","0.48832935094833374","0.48832935094833374","0.33718952536582947","0.33718952536582947","0.33718952536582947"
"1666","0.6004578471183777","0.6004578471183777","0.6004578471183777","0.448322057723999","0.448322057723999","0.448322057723999","0.4593420624732971","0.4593420624732971","0.4593420624732971","0.311553955078125","0.311553955078125","0.311553955078125"
"1715","0.5652771592140198","0.5652771592140198","0.5652771592140198","0.43256938457489014","0.43256938457489014","0.43256938457489014","0.45160558819770813","0.45160558819770813","0.45160558819770813","0.2825191915035248","0.2825191915035248","0.2825191915035248"
"1764","0.5484812259674072","0.5484812259674072","0.5484812259674072","0.43625468015670776","0.43625468015670776","0.43625468015670776","0.42566007375717163","0.42566007375717163","0.42566007375717163","0.282218873500824","0.282218873500824","0.282218873500824"
"1813","0.5193673372268677","0.5193673372268677","0.5193673372268677","0.40234941244125366","0.40234941244125366","0.40234941244125366","0.40427085757255554","0.40427085757255554","0.40427085757255554","0.265368789434433","0.265368789434433","0.265368789434433"
"1862","0.4935321807861328","0.4935321807861328","0.4935321807861328","0.37784770131111145","0.37784770131111145","0.37784770131111145","0.37923142313957214","0.37923142313957214","0.37923142313957214","0.24652566015720367","0.24652566015720367","0.24652566015720367"
"1911","0.4892127215862274","0.4892127215862274","0.4892127215862274","0.3579426109790802","0.3579426109790802","0.3579426109790802","0.3725598454475403","0.3725598454475403","0.3725598454475403","0.22961069643497467","0.22961069643497467","0.22961069643497467"
"1960","0.46383246779441833","0.46383246779441833","0.46383246779441833","0.3390539586544037","0.3390539586544037","0.3390539586544037","0.3525201082229614","0.3525201082229614","0.3525201082229614","0.2106255143880844","0.2106255143880844","0.2106255143880844"
"2009","0.4450978636741638","0.4450978636741638","0.4450978636741638","0.3175118565559387","0.3175118565559387","0.3175118565559387","0.34181392192840576","0.34181392192840576","0.34181392192840576","0.2044944167137146","0.2044944167137146","0.2044944167137146"
"2058","0.417892724275589","0.417892724275589","0.417892724275589","0.32142117619514465","0.32142117619514465","0.32142117619514465","0.316861093044281","0.316861093044281","0.316861093044281","0.19397729635238647","0.19397729635238647","0.19397729635238647"
"2107","0.41314810514450073","0.41314810514450073","0.41314810514450073","0.2893018126487732","0.2893018126487732","0.2893018126487732","0.3013767600059509","0.3013767600059509","0.3013767600059509","0.17729124426841736","0.17729124426841736","0.17729124426841736"
"2156","0.3809378743171692","0.3809378743171692","0.3809378743171692","0.29222002625465393","0.29222002625465393","0.29222002625465393","0.29734495282173157","0.29734495282173157","0.29734495282173157","0.15312178432941437","0.15312178432941437","0.15312178432941437"
"2205","0.3582189977169037","0.3582189977169037","0.3582189977169037","0.26354438066482544","0.26354438066482544","0.26354438066482544","0.2701968252658844","0.2701968252658844","0.2701968252658844","0.16743750870227814","0.16743750870227814","0.16743750870227814"
"2254","0.35228070616722107","0.35228070616722107","0.35228070616722107","0.2547306716442108","0.2547306716442108","0.2547306716442108","0.2600533068180084","0.2600533068180084","0.2600533068180084","0.1470721811056137","0.1470721811056137","0.1470721811056137"
"2303","0.3334411680698395","0.3334411680698395","0.3334411680698395","0.23964691162109375","0.23964691162109375","0.23964691162109375","0.25459542870521545","0.25459542870521545","0.25459542870521545","0.13977520167827606","0.13977520167827606","0.13977520167827606"
"2352","0.32943305373191833","0.32943305373191833","0.32943305373191833","0.22237099707126617","0.22237099707126617","0.22237099707126617","0.23856273293495178","0.23856273293495178","0.23856273293495178","0.1184096485376358","0.1184096485376358","0.1184096485376358"
"2401","0.3138023018836975","0.3138023018836975","0.3138023018836975","0.22269392013549805","0.22269392013549805","0.22269392013549805","0.21232593059539795","0.21232593059539795","0.21232593059539795","0.11343496292829514","0.11343496292829514","0.11343496292829514"
"2450","0.3030075132846832","0.3030075132846832","0.3030075132846832","0.20140241086483002","0.20140241086483002","0.20140241086483002","0.20389831066131592","0.20389831066131592","0.20389831066131592","0.11695872992277145","0.11695872992277145","0.11695872992277145"
"2499","0.2772262990474701","0.2772262990474701","0.2772262990474701","0.20314553380012512","0.20314553380012512","0.20314553380012512","0.19344165921211243","0.19344165921211243","0.19344165921211243","0.0983399823307991","0.0983399823307991","0.0983399823307991"
"2548","0.27319416403770447","0.27319416403770447","0.27319416403770447","0.17773281037807465","0.17773281037807465","0.17773281037807465","0.17980806529521942","0.17980806529521942","0.17980806529521942","0.08818817883729935","0.08818817883729935","0.08818817883729935"
"2597","0.2627504765987396","0.2627504765987396","0.2627504765987396","0.1670156717300415","0.1670156717300415","0.1670156717300415","0.16122785210609436","0.16122785210609436","0.16122785210609436","0.08648233860731125","0.08648233860731125","0.08648233860731125"
"2646","0.23512867093086243","0.23512867093086243","0.23512867093086243","0.15822666883468628","0.15822666883468628","0.15822666883468628","0.16303324699401855","0.16303324699401855","0.16303324699401855","0.07666227221488953","0.07666227221488953","0.07666227221488953"
"2695","0.22127707302570343","0.22127707302570343","0.22127707302570343","0.15248984098434448","0.15248984098434448","0.15248984098434448","0.1552790105342865","0.1552790105342865","0.1552790105342865","0.08295692503452301","0.08295692503452301","0.08295692503452301"
"2744","0.22668106853961945","0.22668106853961945","0.22668106853961945","0.14098535478115082","0.14098535478115082","0.14098535478115082","0.13925385475158691","0.13925385475158691","0.13925385475158691","0.07299583405256271","0.07299583405256271","0.07299583405256271"
"2793","0.20319165289402008","0.20319165289402008","0.20319165289402008","0.12531693279743195","0.12531693279743195","0.12531693279743195","0.1298505812883377","0.1298505812883377","0.1298505812883377","0.04546011984348297","0.04546011984348297","0.04546011984348297"
"2842","0.1884223371744156","0.1884223371744156","0.1884223371744156","0.11720622330904007","0.11720622330904007","0.11720622330904007","0.1268886774778366","0.1268886774778366","0.1268886774778366","0.05272848159074783","0.05272848159074783","0.05272848159074783"
"2891","0.1748943328857422","0.1748943328857422","0.1748943328857422","0.11781053245067596","0.11781053245067596","0.11781053245067596","0.10169235616922379","0.10169235616922379","0.10169235616922379","0.04528762772679329","0.04528762772679329","0.04528762772679329"
"2940","0.15870702266693115","0.15870702266693115","0.15870702266693115","0.09786006808280945","0.09786006808280945","0.09786006808280945","0.09221009910106659","0.09221009910106659","0.09221009910106659","0.05068907514214516","0.05068907514214516","0.05068907514214516"
"2989","0.15067878365516663","0.15067878365516663","0.15067878365516663","0.10845483094453812","0.10845483094453812","0.10845483094453812","0.09560879319906235","0.09560879319906235","0.09560879319906235","0.04646395519375801","0.04646395519375801","0.04646395519375801"
"3038","0.1434534341096878","0.1434534341096878","0.1434534341096878","0.08279658108949661","0.08279658108949661","0.08279658108949661","0.09058714658021927","0.09058714658021927","0.09058714658021927","0.04117797687649727","0.04117797687649727","0.04117797687649727"
"3087","0.1332906037569046","0.1332906037569046","0.1332906037569046","0.06979012489318848","0.06979012489318848","0.06979012489318848","0.07616517692804337","0.07616517692804337","0.07616517692804337","0.03786955028772354","0.03786955028772354","0.03786955028772354"
"3136","0.11002614349126816","0.11002614349126816","0.11002614349126816","0.074146568775177","0.074146568775177","0.074146568775177","0.06936661899089813","0.06936661899089813","0.06936661899089813","0.03080216608941555","0.03080216608941555","0.03080216608941555"
"3185","0.11040481179952621","0.11040481179952621","0.11040481179952621","0.05769756808876991","0.05769756808876991","0.05769756808876991","0.06629970669746399","0.06629970669746399","0.06629970669746399","0.030772164463996887","0.030772164463996887","0.030772164463996887"
"3234","0.10612626373767853","0.10612626373767853","0.10612626373767853","0.052272289991378784","0.052272289991378784","0.052272289991378784","0.06325659155845642","0.06325659155845642","0.06325659155845642","0.029608942568302155","0.029608942568302155","0.029608942568302155"
"3283","0.0896843895316124","0.0896843895316124","0.0896843895316124","0.05478282645344734","0.05478282645344734","0.05478282645344734","0.04965396597981453","0.04965396597981453","0.04965396597981453","0.020219719037413597","0.020219719037413597","0.020219719037413597"
"3332","0.08279292285442352","0.08279292285442352","0.08279292285442352","0.055371031165122986","0.055371031165122986","0.055371031165122986","0.04847945272922516","0.04847945272922516","0.04847945272922516","0.011808368377387524","0.011808368377387524","0.011808368377387524"
"3381","0.07911287993192673","0.07911287993192673","0.07911287993192673","0.04027695953845978","0.04027695953845978","0.04027695953845978","0.03490141034126282","0.03490141034126282","0.03490141034126282","0.010816013440489769","0.010816013440489769","0.010816013440489769"
"3430","0.0687706470489502","0.0687706470489502","0.0687706470489502","0.030531203374266624","0.030531203374266624","0.030531203374266624","0.029814116656780243","0.029814116656780243","0.029814116656780243","0.010517674498260021","0.010517674498260021","0.010517674498260021"
"3479","0.06195615604519844","0.06195615604519844","0.06195615604519844","0.0200162585824728","0.0200162585824728","0.0200162585824728","0.024310937151312828","0.024310937151312828","0.024310937151312828","0.006277673412114382","0.006277673412114382","0.006277673412114382"
"3528","0.053695812821388245","0.053695812821388245","0.053695812821388245","0.01817631907761097","0.01817631907761097","0.01817631907761097","0.018414625898003578","0.018414625898003578","0.018414625898003578","0.004391526337713003","0.004391526337713003","0.004391526337713003"
"3577","0.05258335918188095","0.05258335918188095","0.05258335918188095","0.01824609562754631","0.01824609562754631","0.01824609562754631","0.013652107678353786","0.013652107678353786","0.013652107678353786","0.0023705100174993277","0.0023705100174993277","0.0023705100174993277"
"3626","0.03488512709736824","0.03488512709736824","0.03488512709736824","0.019879702478647232","0.019879702478647232","0.019879702478647232","0.010757869109511375","0.010757869109511375","0.010757869109511375","0.0022627227008342743","0.0022627227008342743","0.0022627227008342743"
"3675","0.03212310001254082","0.03212310001254082","0.03212310001254082","0.019331082701683044","0.019331082701683044","0.019331082701683044","0.00888938456773758","0.00888938456773758","0.00888938456773758","0.0009552175761200488","0.0009552175761200488","0.0009552175761200488"
"3724","0.020679263398051262","0.020679263398051262","0.020679263398051262","0.014434433542191982","0.014434433542191982","0.014434433542191982","0.006454728078097105","0.006454728078097105","0.006454728078097105","0.0006871954537928104","0.0006871954537928104","0.0006871954537928104"
"3773","0.015709031373262405","0.015709031373262405","0.015709031373262405","0.007868981920182705","0.007868981920182705","0.007868981920182705","0.003437271574512124","0.003437271574512124","0.003437271574512124","0.000307771610096097","0.000307771610096097","0.000307771610096097"
"3822","0.010260336101055145","0.010260336101055145","0.010260336101055145","0.003886063350364566","0.003886063350364566","0.003886063350364566","0.0022312987130135298","0.0022312987130135298","0.0022312987130135298","0.00018151695257984102","0.00018151695257984102","0.00018151695257984102"
"3871","0.0059575787745416164","0.0059575787745416164","0.0059575787745416164","0.001976307248696685","0.001976307248696685","0.001976307248696685","0.0012502013705670834","0.0012502013705670834","0.0012502013705670834","0.00013573172327596694","0.00013573172327596694","0.00013573172327596694"
"3920","0.003689922858029604","0.003689922858029604","0.003689922858029604","0.0009111965773627162","0.0009111965773627162","0.0009111965773627162","0.0008555771200917661","0.0008555771200917661","0.0008555771200917661","0.00012389662151690573","0.00012389662151690573","0.00012389662151690573"
"3969","0.0021420144475996494","0.0021420144475996494","0.0021420144475996494","0.0003418290871195495","0.0003418290871195495","0.0003418290871195495","0.00037651872844435275","0.00037651872844435275","0.00037651872844435275","0.00011560194252524525","0.00011560194252524525","0.00011560194252524525"
"4018","0.0015353687340393662","0.0015353687340393662","0.0015353687340393662","0.00021334935445338488","0.00021334935445338488","0.00021334935445338488","0.00026181756402365863","0.00026181756402365863","0.00026181756402365863","0.00009533444244880229","0.00009533444244880229","0.00009533444244880229"
"4067","0.0008983197622001171","0.0008983197622001171","0.0008983197622001171","0.00016921096539590508","0.00016921096539590508","0.00016921096539590508","0.0001821406913222745","0.0001821406913222745","0.0001821406913222745","0.00008903730486053973","0.00008903730486053973","0.00008903730486053973"
"4116","0.0005931906052865088","0.0005931906052865088","0.0005931906052865088","0.00015198277833405882","0.00015198277833405882","0.00015198277833405882","0.0001496429176768288","0.0001496429176768288","0.0001496429176768288","0.00009067719656741247","0.00009067719656741247","0.00009067719656741247"
"4165","0.00040686046122573316","0.00040686046122573316","0.00040686046122573316","0.00014294857101049274","0.00014294857101049274","0.00014294857101049274","0.00012972348486073315","0.00012972348486073315","0.00012972348486073315","0.00009151722770184278","0.00009151722770184278","0.00009151722770184278"
"4214","0.0003047658537980169","0.0003047658537980169","0.0003047658537980169","0.00011520319094415754","0.00011520319094415754","0.00011520319094415754","0.0001104836628655903","0.0001104836628655903","0.0001104836628655903","0.00008757453906582668","0.00008757453906582668","0.00008757453906582668"
"4263","0.00030458401306532323","0.00030458401306532323","0.00030458401306532323","0.00012127927766414359","0.00012127927766414359","0.00012127927766414359","0.00010777914576465264","0.00010777914576465264","0.00010777914576465264","0.00007873532740632072","0.00007873532740632072","0.00007873532740632072"
"4312","0.00025136457406915724","0.00025136457406915724","0.00025136457406915724","0.00010343601024942473","0.00010343601024942473","0.00010343601024942473","0.00011141579307150096","0.00011141579307150096","0.00011141579307150096","0.0000725627105566673","0.0000725627105566673","0.0000725627105566673"
"4361","0.00022245962463784963","0.00022245962463784963","0.00022245962463784963","0.00008981797145679593","0.00008981797145679593","0.00008981797145679593","0.00010352523531764746","0.00010352523531764746","0.00010352523531764746","0.00007510740397265181","0.00007510740397265181","0.00007510740397265181"
"4410","0.00023395605967380106","0.00023395605967380106","0.00023395605967380106","0.00011397725756978616","0.00011397725756978616","0.00011397725756978616","0.00009605916420696303","0.00009605916420696303","0.00009605916420696303","0.00007438894681399688","0.00007438894681399688","0.00007438894681399688"
"4459","0.00022484324290417135","0.00022484324290417135","0.00022484324290417135","0.00009348138701170683","0.00009348138701170683","0.00009348138701170683","0.00010290402133250609","0.00010290402133250609","0.00010290402133250609","0.0000690492961439304","0.0000690492961439304","0.0000690492961439304"
"4508","0.00019935639284085482","0.00019935639284085482","0.00019935639284085482","0.00009771261102287099","0.00009771261102287099","0.00009771261102287099","0.000104946804640349","0.000104946804640349","0.000104946804640349","0.00006601918721571565","0.00006601918721571565","0.00006601918721571565"
"4557","0.00018668740813154727","0.00018668740813154727","0.00018668740813154727","0.00009159016917692497","0.00009159016917692497","0.00009159016917692497","0.00009442812734050676","0.00009442812734050676","0.00009442812734050676","0.00007026937964837998","0.00007026937964837998","0.00007026937964837998"
"4606","0.00018815213115885854","0.00018815213115885854","0.00018815213115885854","0.00009241234511137009","0.00009241234511137009","0.00009241234511137009","0.00009453883831156418","0.00009453883831156418","0.00009453883831156418","0.00006679415673715994","0.00006679415673715994","0.00006679415673715994"
"4655","0.00017622907762415707","0.00017622907762415707","0.00017622907762415707","0.00009088042861549184","0.00009088042861549184","0.00009088042861549184","0.00009350570326205343","0.00009350570326205343","0.00009350570326205343","0.00007656112575205043","0.00007656112575205043","0.00007656112575205043"
"4704","0.00016696557577233762","0.00016696557577233762","0.00016696557577233762","0.00009009690256789327","0.00009009690256789327","0.00009009690256789327","0.00008379385690204799","0.00008379385690204799","0.00008379385690204799","0.00006683114770567045","0.00006683114770567045","0.00006683114770567045"
